Epm_nEng_100ms,VehV_v_100ms,ActMod_trqInr_100ms,RngMod_trqCrSmin_100ms,CoVeh_trqAcs_100ms,Clth_st_100ms,CoEng_st_100ms,Com_rTSC1VRVCURtdrTq_100ms,Com_rTSC1VRRDTrqReq_100ms,RoadSlope_100ms
1155.0,71.44,2187.5,-168.0,9.999747,0,3,0,0,1.7
1159.5,41.55,2632.0,-112.0,9.999747,0,3,0,0,4.2
1156.0,71.42,2215.5,-168.0,9.999747,0,3,0,0,1.7
1063.0,77.98,0.0,-140.0,9.999747,0,3,0,0,-4.4
1162.5,71.77,1207.5,-168.0,9.999747,0,3,0,0,0.6
1157.0,71.65,1739.5,-168.0,9.999747,0,3,0,0,1.5
937.5,69.76,1347.5,-168.0,9.999747,0,3,0,0,0.4
1158.5,71.59,2131.5,-140.0,9.999747,0,3,0,0,2.5
904.0,67.08,1263.5,-140.0,9.999747,0,3,0,0,-0.2
1182.0,72.93,675.5,-168.0,9.999747,0,3,0,0,-1.0
1135.5,85.61,0.0,-168.0,9.999747,0,3,0,0,0.4
1193.5,42.76,2607.5,-140.0,9.999747,0,3,0,0,5.0
1208.5,43.11,2607.5,-140.0,9.999747,0,3,0,0,4.8
897.5,66.72,1907.5,-168.0,9.999747,0,3,0,0,1.0
936.0,69.66,1487.5,-168.0,9.999747,0,3,0,0,0.4
1159.0,74.27,26.19008,-168.0,9.999747,0,3,0,0,3.8
949.5,70.39,759.5,-168.0,9.999747,0,3,0,0,-0.4
925.5,69.36,367.5,-168.0,9.999747,0,3,0,0,-1.0
1261.5,77.63,0.0,-196.0,9.999747,0,3,0,0,-2.7
1078.5,55.14,226.432,-140.0,9.999747,0,3,0,0,-2.7
1251.0,44.32,2632.0,-140.0,9.999747,0,3,0,0,4.2
1181.0,72.89,1319.5,-168.0,9.999747,0,3,0,0,0.6
1027.5,62.89,2635.5,-140.0,9.999747,0,3,0,0,2.7
1018.5,53.0,1445.988,-140.0,9.999747,0,3,0,0,0.6
1157.5,71.48,2152.647,-168.0,9.999747,0,3,0,0,1.7
917.0,68.21,1655.5,-140.0,9.999747,0,3,0,0,0.6
1154.5,71.52,1795.5,-168.0,9.999747,0,3,0,0,1.5
1130.0,48.7,2632.0,-112.0,9.999747,0,3,0,0,3.8
895.0,67.14,1060.453,-147.0473,9.999747,0,3,0,0,-0.2
1205.5,62.4,2579.5,-168.0,9.999747,0,3,0,0,3.4
1157.0,71.56,1767.5,-168.0,9.999747,0,3,0,0,1.5
1177.0,72.81,815.3654,-168.0,9.999747,0,3,0,0,-1.0
888.0,66.14,2019.013,-140.0,9.999747,0,3,0,0,1.0
1201.5,50.46,2607.5,-112.0,9.999747,0,3,0,0,1.7
900.0,67.43,1095.5,-168.0,9.999747,0,3,0,0,0.4
1380.0,70.58,2258.699,-196.0,9.999747,0,3,0,0,0.4
1170.0,60.14,2579.5,-168.0,9.999747,0,3,0,0,1.7
1143.5,71.05,1932.834,-168.0,9.999747,0,3,0,0,1.9
1144.0,70.73,2439.5,-168.0,9.999747,0,3,0,0,2.5
1103.5,48.69,2015.467,-140.0,9.999747,0,3,0,0,2.9
1280.5,79.0,0.0,-196.0,9.999747,0,3,0,0,-2.7
987.0,51.43,2228.916,-112.0,9.999747,0,3,0,0,2.5
1100.0,81.08,0.0,-168.0,9.999747,0,3,0,0,-4.0
1267.0,77.96,0.0,-196.0,9.999747,0,3,0,0,-2.7
1136.5,70.53,2159.5,-168.0,9.999747,0,3,0,0,2.5
1101.5,47.03,1963.5,-140.0,9.999747,0,3,0,0,1.7
1006.0,75.23,0.0,-168.0,9.999747,0,3,0,0,-0.8
1162.5,71.97,1683.5,-168.0,9.999747,0,3,0,0,1.7
1142.5,40.89,2632.0,-112.0,9.999747,0,3,0,0,4.2
1035.5,54.05,1291.5,-140.0,9.999747,0,3,0,0,1.3
1219.0,74.95,0.0,-196.0,9.999747,0,3,0,0,-2.1
1145.5,59.29,2550.038,-168.0,9.999747,0,3,0,0,2.7
910.5,67.39,1067.5,-168.0,9.999747,0,3,0,0,-0.2
1187.0,51.48,2591.81,-140.0,9.999747,0,3,0,0,4.6
1188.0,73.48,0.0,-196.0,9.999747,0,3,0,0,-1.7
1299.5,79.83,0.0,-196.0,9.999747,0,3,0,0,-2.7
866.5,64.7,1829.265,-140.0,9.999747,0,3,0,0,0.8
1084.0,56.51,759.5,-140.0,9.999747,0,3,0,0,0.2
1331.0,55.72,2635.5,-140.0,9.999747,0,3,0,0,-0.4
1156.0,71.49,1795.5,-168.0,9.999747,0,3,0,0,1.5
922.0,68.62,1487.5,-140.0,9.999747,0,3,0,0,0.6
1326.0,70.98,0.0,-196.0,9.999747,0,3,0,0,-3.8
1353.5,69.76,1993.341,-196.0,9.999747,0,3,0,0,0.8
1126.5,48.61,2632.0,-112.0,9.999747,0,3,0,0,4.2
1238.0,53.31,2172.265,-140.0,9.999747,0,3,0,0,-0.4
1194.5,88.72,0.0,-168.0,9.999747,0,3,0,0,-2.5
1149.5,71.28,2047.5,-168.0,9.999747,0,3,0,0,2.5
970.5,72.18,0.0,-140.0,9.999747,0,3,0,0,-2.7
1157.5,71.26,2355.5,-140.0,9.999747,0,3,0,0,2.5
996.0,61.33,2327.5,-140.0,9.999747,0,3,0,0,1.7
888.0,66.66,1269.174,-140.0,9.999747,0,3,0,0,0.8
1148.0,58.48,0.0,-168.0,9.999747,0,3,0,0,-2.7
1250.0,77.18,0.0,-196.0,9.999747,0,3,0,0,-1.0
989.5,50.5,2241.123,-168.0,9.999747,0,3,0,0,1.3
886.5,66.3,115.5,-168.0,9.999747,0,3,0,0,-0.8
1081.0,56.17,787.5,-140.0,9.999747,0,3,0,0,0.2
1209.5,61.64,0.0,-168.0,9.999747,0,3,0,0,-3.8
1220.0,75.38,0.0,-196.0,9.999747,0,3,0,0,-1.9
1148.0,40.84,2632.0,-112.0,9.999747,0,3,0,0,4.8
1284.5,65.61,0.0,-168.0,9.999747,0,3,0,0,-4.0
1158.5,71.63,1683.5,-168.0,9.999747,0,3,0,0,1.5
1239.5,76.61,0.0,-196.0,9.999747,0,3,0,0,-3.1
1157.5,71.48,2141.813,-168.0,9.999747,0,3,0,0,1.7
942.0,70.08,1179.5,-168.0,9.999747,0,3,0,0,0.4
946.5,69.39,0.0,-140.0,9.999747,0,3,0,0,-2.7
1081.0,56.81,2243.5,-140.0,9.999747,0,3,0,0,3.972594653
1146.5,71.19,2047.5,-168.0,9.999747,0,3,0,0,2.5
1198.0,61.6,2579.5,-168.0,9.999747,0,3,0,0,1.7
890.5,66.67,2302.878,-140.0,9.999747,0,3,0,0,1.5
1141.5,70.81,2075.5,-168.0,9.999747,0,3,0,0,2.5
1193.5,62.08,2607.5,-168.0,9.999747,0,3,0,0,3.1
900.0,66.89,1823.5,-168.0,9.999747,0,3,0,0,0.6
1243.5,77.1,0.0,-196.0,9.999747,0,3,0,0,-1.0
1086.5,56.12,2271.5,-168.0,9.999747,0,3,0,0,2.3
942.0,70.49,3.5,-168.0,9.999747,0,3,0,0,-1.3
1285.0,54.48,2632.0,-140.0,9.999747,0,3,0,0,2.1
1159.5,71.92,759.5,-196.0,9.999747,0,3,0,0,0.2
1195.0,43.89,1612.775,-140.0,9.999747,0,3,0,0,4.0
1184.0,73.23,311.5,-196.0,9.999747,0,3,0,0,-1.9
1162.5,71.74,2159.5,-168.0,9.999747,0,3,0,0,1.7
1152.0,71.39,1599.5,-168.0,9.999747,0,3,0,0,1.3
1134.5,69.46,2604.0,-168.0,9.999747,0,3,0,0,0.8
1109.5,47.86,2635.5,-112.0,9.999747,0,3,0,0,4.0
